,product brand,product name,price,store name
0,Unknown,"Bananas, Bunch",1.75,RIDEAU STREET
1,Unknown,English Cucumber,1.29,RIDEAU STREET
2,Unknown,Red Seedless Watermelon,7.99,RIDEAU STREET
3,Unknown,Green Onion,1.49,RIDEAU STREET
4,Unknown,Red Cherries,7.83,RIDEAU STREET
5,Unknown,Asparagus,5.19,RIDEAU STREET
6,Unknown,"Romaine Heart, 3 Pack",2.99,RIDEAU STREET
7,Unknown,Tomato Beefsteak Red,1.47,RIDEAU STREET
8,Unknown,Lettuce Iceberg,3.99,RIDEAU STREET
9,Unknown,Avocados Bag,5.99,RIDEAU STREET
10,Farmer's Market,English Cucumber 3Ct,3.49,RIDEAU STREET
11,Unknown,Lemon,0.99,RIDEAU STREET
12,Farmer's Market,Yellow Onions,2.99,RIDEAU STREET
13,Unknown,Red Peppers,2.11,RIDEAU STREET
14,Unknown,Celery Stalks,4.99,RIDEAU STREET
15,Unknown,Red Onion,2.19,RIDEAU STREET
16,Unknown,Zucchini,1.66,RIDEAU STREET
17,Unknown,"Bi-Colour Corn, Corn on the Cob",0.99,RIDEAU STREET
18,Unknown,Limes,0.99,RIDEAU STREET
19,Unknown,Green Seedless Grapes,13.47,RIDEAU STREET
20,Unknown,Cauliflower,4.99,RIDEAU STREET
21,Unknown,Cilantro,2.69,RIDEAU STREET
22,PC Organics,"Organic Bananas, Bunch",2.88,RIDEAU STREET
23,Farmer's Market,Grape Tomatoes,3.99,RIDEAU STREET
24,Unknown,Bartlett Pears,1.38,RIDEAU STREET
25,Unknown,Blueberries 1 pint,5.99,RIDEAU STREET
26,Unknown,Broccoli Crowns,3.34,RIDEAU STREET
27,Farmer's Market,Carrots,3.99,RIDEAU STREET
28,Unknown,Royal Gala Apples,1.15,RIDEAU STREET
29,Farmer's Market,Corn On The Cob,4.99,RIDEAU STREET
30,Unknown,Mango,2.99,RIDEAU STREET
31,Unknown,Broccoli,3.99,RIDEAU STREET
32,Unknown,Ginger,1.85,RIDEAU STREET
33,Farmer's Market,Mini Cucumbers,4.99,RIDEAU STREET
34,Farmer's Market,Russet Potatoes,5.99,RIDEAU STREET
35,Unknown,Cantaloupe,5.99,RIDEAU STREET
36,President's Choice,Ontario Greenhouse-Grown Strawberries,5.99,RIDEAU STREET
37,Farmer's Market,Mini Cucumbers,6.99,RIDEAU STREET
38,Rooster,"Garlic Bulbs, 3-count",1.29,RIDEAU STREET
39,Unknown,Sweet Potato,2.49,RIDEAU STREET
40,Unknown,Dried Porcini Mushrooms,5.99,RIDEAU STREET
41,Paramount,"Wonderful Pistachios, Sweet Chili",6.49,RIDEAU STREET
42,President's Choice,Spring Herb Vinagrette Pouch,0.59,RIDEAU STREET
43,Unknown,Organic Mango,2.99,RIDEAU STREET
44,Unknown,Vine Cherry Tomatoes,4.99,RIDEAU STREET
45,Unknown,"Fresh Cut Fruit Salad, Small",7.0,RIDEAU STREET
46,Unknown,Seedless Watermelon Sliced,3.79,RIDEAU STREET
47,President's Choice,Baby Spinach And Tender Red Lettuce,4.99,RIDEAU STREET
48,Unknown,"Bananas, Bunch",1.75,RIDEAU STREET
49,Unknown,English Cucumber,1.29,RIDEAU STREET
50,Unknown,Red Seedless Watermelon,7.99,RIDEAU STREET
51,Unknown,Green Onion,1.49,RIDEAU STREET
52,Unknown,Red Cherries,7.83,RIDEAU STREET
53,Unknown,Asparagus,5.19,RIDEAU STREET
54,Unknown,"Romaine Heart, 3 Pack",2.99,RIDEAU STREET
55,Unknown,Tomato Beefsteak Red,1.47,RIDEAU STREET
56,Unknown,Lettuce Iceberg,3.99,RIDEAU STREET
57,Unknown,Avocados Bag,5.99,RIDEAU STREET
58,Farmer's Market,English Cucumber 3Ct,3.49,RIDEAU STREET
59,Unknown,Lemon,0.99,RIDEAU STREET
60,Farmer's Market,Yellow Onions,2.99,RIDEAU STREET
61,Unknown,Red Peppers,2.11,RIDEAU STREET
62,Unknown,Celery Stalks,4.99,RIDEAU STREET
63,Unknown,Red Onion,2.19,RIDEAU STREET
64,Unknown,Zucchini,1.66,RIDEAU STREET
65,Unknown,"Bi-Colour Corn, Corn on the Cob",0.99,RIDEAU STREET
66,Unknown,Limes,0.99,RIDEAU STREET
67,Unknown,Green Seedless Grapes,13.47,RIDEAU STREET
68,Unknown,Cauliflower,4.99,RIDEAU STREET
69,Unknown,Cilantro,2.69,RIDEAU STREET
70,PC Organics,"Organic Bananas, Bunch",2.88,RIDEAU STREET
71,Farmer's Market,Grape Tomatoes,3.99,RIDEAU STREET
72,Unknown,Bartlett Pears,1.38,RIDEAU STREET
73,Unknown,Blueberries 1 pint,5.99,RIDEAU STREET
74,Unknown,Broccoli Crowns,3.34,RIDEAU STREET
75,Farmer's Market,Carrots,3.99,RIDEAU STREET
76,Unknown,Royal Gala Apples,1.15,RIDEAU STREET
77,Farmer's Market,Corn On The Cob,4.99,RIDEAU STREET
78,Unknown,Mango,2.99,RIDEAU STREET
79,Unknown,Broccoli,3.99,RIDEAU STREET
80,Unknown,Ginger,1.85,RIDEAU STREET
81,Farmer's Market,Mini Cucumbers,4.99,RIDEAU STREET
82,Farmer's Market,Russet Potatoes,5.99,RIDEAU STREET
83,Unknown,Cantaloupe,5.99,RIDEAU STREET
84,President's Choice,Ontario Greenhouse-Grown Strawberries,5.99,RIDEAU STREET
85,Farmer's Market,Mini Cucumbers,6.99,RIDEAU STREET
86,Rooster,"Garlic Bulbs, 3-count",1.29,RIDEAU STREET
87,Unknown,Sweet Potato,2.49,RIDEAU STREET
88,Unknown,Dried Porcini Mushrooms,5.99,RIDEAU STREET
89,Paramount,"Wonderful Pistachios, Sweet Chili",6.49,RIDEAU STREET
90,President's Choice,Spring Herb Vinagrette Pouch,0.59,RIDEAU STREET
91,Unknown,Organic Mango,2.99,RIDEAU STREET
92,Unknown,Vine Cherry Tomatoes,4.99,RIDEAU STREET
93,Unknown,"Fresh Cut Fruit Salad, Small",7.0,RIDEAU STREET
94,Unknown,Seedless Watermelon Sliced,3.79,RIDEAU STREET
95,President's Choice,Baby Spinach And Tender Red Lettuce,4.99,RIDEAU STREET
96,Unknown,Chinese Bitter Melon,2.42,RIDEAU STREET
97,Farmer's Market,Empire Apples,5.99,RIDEAU STREET
98,President's Choice,Cilantro,2.99,RIDEAU STREET
99,Greenhouse,Plant-Based Collagen Booster Glow,3.99,RIDEAU STREET
100,Paramount,No shell BBQ Pistachios,8.99,RIDEAU STREET
101,President's Choice,Blackberries,4.99,RIDEAU STREET
102,Unknown,"Fresh Thyme, 4"" Pot",4.99,RIDEAU STREET
103,PC Organics,Gala Apples,1.94,RIDEAU STREET
104,Unknown,Greek Salad Family Size,17.0,RIDEAU STREET
105,Unknown,Parsnip,1.92,RIDEAU STREET
106,Unknown,Large House Salad,12.0,RIDEAU STREET
107,Unknown,Turmeric,4.32,RIDEAU STREET
